model,n_scenarios,transfer_rate,mean_gain_pct,median_gain_pct,min_gain_pct,max_gain_pct,transfer_rate_pct
ENTSOE,180,0.8444444444444444,42.438031921045486,44.31775937904814,-60.3003010467222,97.63107785585335,84.44444444444444
LSTM,180,1.0,66.47052462292686,71.04147280146843,7.6548637596813585,96.32596480037384,100.0
SARIMAX,180,1.0,70.15551292710627,76.81862043448969,3.2620600248718867,97.96708678517528,100.0
