replication_id,margin,voll_multiplier,model,theta_doc,boundary_selected,scale_factor
E2018,1.1,5.0,LSTM,0.1,False,0.853686394821645
E2018,1.2,0.5,ENTSOE,0.075,False,0.7825458619198414
E2018,1.2,0.5,SARIMAX,0.1,False,0.7825458619198414
E2018,1.2,0.5,LSTM,0.05,False,0.7825458619198414
E2018,1.2,1.0,ENTSOE,0.1,False,0.7825458619198414
E2018,1.2,1.0,SARIMAX,0.125,False,0.7825458619198414
E2018,1.2,1.0,LSTM,0.075,False,0.7825458619198414
E2018,1.2,2.0,ENTSOE,0.1,False,0.7825458619198414
E2018,1.2,2.0,SARIMAX,0.15,False,0.7825458619198414
E2018,1.2,2.0,LSTM,0.1,False,0.7825458619198414
E2018,1.2,5.0,ENTSOE,0.15,False,0.7825458619198414
E2018,1.2,5.0,SARIMAX,0.15,False,0.7825458619198414
E2018,1.2,5.0,LSTM,0.1,False,0.7825458619198414
E2018,1.3,0.5,ENTSOE,0.1,False,0.7223500263875458
E2018,1.3,0.5,SARIMAX,0.125,False,0.7223500263875458
E2018,1.3,0.5,LSTM,0.075,False,0.7223500263875458
E2018,1.3,1.0,ENTSOE,0.125,False,0.7223500263875458
E2018,1.3,1.0,SARIMAX,0.15,False,0.7223500263875458
E2018,1.3,1.0,LSTM,0.1,False,0.7223500263875458
E2018,1.3,2.0,ENTSOE,0.15,False,0.7223500263875458
E2018,1.3,2.0,SARIMAX,0.15,False,0.7223500263875458
E2018,1.3,2.0,LSTM,0.1,False,0.7223500263875458
E2018,1.3,5.0,ENTSOE,0.175,False,0.7223500263875458
E2018,1.3,5.0,SARIMAX,0.175,False,0.7223500263875458
E2018,1.3,5.0,LSTM,0.125,False,0.7223500263875458
E2018,1.4,0.5,ENTSOE,0.15,False,0.6707535959312926
E2018,1.4,0.5,SARIMAX,0.175,False,0.6707535959312926
E2018,1.4,0.5,LSTM,0.125,False,0.6707535959312926
E2018,1.4,1.0,ENTSOE,0.15,False,0.6707535959312926
E2018,1.4,1.0,SARIMAX,0.175,False,0.6707535959312926
E2018,1.4,1.0,LSTM,0.125,False,0.6707535959312926
E2018,1.4,2.0,ENTSOE,0.175,False,0.6707535959312926
E2018,1.4,2.0,SARIMAX,0.2,False,0.6707535959312926
E2018,1.4,2.0,LSTM,0.15,False,0.6707535959312926
E2018,1.4,5.0,ENTSOE,0.2,False,0.6707535959312926
E2018,1.4,5.0,SARIMAX,0.2,False,0.6707535959312926
E2018,1.4,5.0,LSTM,0.15,False,0.6707535959312926
E2019,1.0,0.5,ENTSOE,0.075,False,0.9407571407735229
E2019,1.0,0.5,SARIMAX,0.05,False,0.9407571407735229
E2019,1.0,0.5,LSTM,0.025,False,0.9407571407735229
E2019,1.0,1.0,ENTSOE,0.075,False,0.9407571407735229
E2019,1.0,1.0,SARIMAX,0.1,False,0.9407571407735229
E2019,1.0,1.0,LSTM,0.05,False,0.9407571407735229
E2019,1.0,2.0,ENTSOE,0.1,False,0.9407571407735229
E2019,1.0,2.0,SARIMAX,0.125,False,0.9407571407735229
E2019,1.0,2.0,LSTM,0.05,False,0.9407571407735229
E2019,1.0,5.0,ENTSOE,0.125,False,0.9407571407735229
E2019,1.0,5.0,SARIMAX,0.125,False,0.9407571407735229
E2019,1.0,5.0,LSTM,0.1,False,0.9407571407735229
E2019,1.1,0.5,ENTSOE,0.075,False,0.8552337643395661
E2019,1.1,0.5,SARIMAX,0.075,False,0.8552337643395661
E2019,1.1,0.5,LSTM,0.025,False,0.8552337643395661
E2019,1.1,1.0,ENTSOE,0.1,False,0.8552337643395661
E2019,1.1,1.0,SARIMAX,0.1,False,0.8552337643395661
E2019,1.1,1.0,LSTM,0.05,False,0.8552337643395661
E2019,1.1,2.0,ENTSOE,0.1,False,0.8552337643395661
E2019,1.1,2.0,SARIMAX,0.125,False,0.8552337643395661
E2019,1.1,2.0,LSTM,0.075,False,0.8552337643395661
E2019,1.1,5.0,ENTSOE,0.125,False,0.8552337643395661
E2019,1.1,5.0,SARIMAX,0.125,False,0.8552337643395661
E2019,1.1,5.0,LSTM,0.1,False,0.8552337643395661
E2019,1.2,0.5,ENTSOE,0.1,False,0.7839642839779358
E2019,1.2,0.5,SARIMAX,0.1,False,0.7839642839779358
E2019,1.2,0.5,LSTM,0.05,False,0.7839642839779358
E2019,1.2,1.0,ENTSOE,0.1,False,0.7839642839779358
E2019,1.2,1.0,SARIMAX,0.1,False,0.7839642839779358
E2019,1.2,1.0,LSTM,0.075,False,0.7839642839779358
E2019,1.2,2.0,ENTSOE,0.125,False,0.7839642839779358
E2019,1.2,2.0,SARIMAX,0.125,False,0.7839642839779358
E2019,1.2,2.0,LSTM,0.075,False,0.7839642839779358
E2019,1.2,5.0,ENTSOE,0.15,False,0.7839642839779358
E2019,1.2,5.0,SARIMAX,0.15,False,0.7839642839779358
E2019,1.2,5.0,LSTM,0.1,False,0.7839642839779358
E2019,1.3,0.5,ENTSOE,0.125,False,0.723659339056556
E2019,1.3,0.5,SARIMAX,0.125,False,0.723659339056556
E2019,1.3,0.5,LSTM,0.1,False,0.723659339056556
E2019,1.3,1.0,ENTSOE,0.15,False,0.723659339056556
E2019,1.3,1.0,SARIMAX,0.125,False,0.723659339056556
E2019,1.3,1.0,LSTM,0.1,False,0.723659339056556
E2019,1.3,2.0,ENTSOE,0.15,False,0.723659339056556
E2019,1.3,2.0,SARIMAX,0.15,False,0.723659339056556
E2019,1.3,2.0,LSTM,0.125,False,0.723659339056556
E2019,1.3,5.0,ENTSOE,0.175,False,0.723659339056556
E2019,1.3,5.0,SARIMAX,0.15,False,0.723659339056556
E2019,1.3,5.0,LSTM,0.125,False,0.723659339056556
E2019,1.4,0.5,ENTSOE,0.15,False,0.6719693862668021
E2019,1.4,0.5,SARIMAX,0.15,False,0.6719693862668021
E2019,1.4,0.5,LSTM,0.125,False,0.6719693862668021
E2019,1.4,1.0,ENTSOE,0.175,False,0.6719693862668021
E2019,1.4,1.0,SARIMAX,0.15,False,0.6719693862668021
E2019,1.4,1.0,LSTM,0.15,False,0.6719693862668021
E2019,1.4,2.0,ENTSOE,0.175,False,0.6719693862668021
E2019,1.4,2.0,SARIMAX,0.175,False,0.6719693862668021
E2019,1.4,2.0,LSTM,0.15,False,0.6719693862668021
E2019,1.4,5.0,ENTSOE,0.2,False,0.6719693862668021
E2019,1.4,5.0,SARIMAX,0.175,False,0.6719693862668021
E2019,1.4,5.0,LSTM,0.175,False,0.6719693862668021
E2020,1.0,0.5,ENTSOE,0.075,False,0.9442830833921414
E2020,1.0,0.5,SARIMAX,0.05,False,0.9442830833921414
E2020,1.0,0.5,LSTM,0.025,False,0.9442830833921414
E2020,1.0,1.0,ENTSOE,0.1,False,0.9442830833921414
E2020,1.0,1.0,SARIMAX,0.075,False,0.9442830833921414
E2020,1.0,1.0,LSTM,0.025,False,0.9442830833921414
E2020,1.0,2.0,ENTSOE,0.125,False,0.9442830833921414
E2020,1.0,2.0,SARIMAX,0.1,False,0.9442830833921414
E2020,1.0,2.0,LSTM,0.05,False,0.9442830833921414
E2020,1.0,5.0,ENTSOE,0.15,False,0.9442830833921414
E2020,1.0,5.0,SARIMAX,0.125,False,0.9442830833921414
E2020,1.0,5.0,LSTM,0.1,False,0.9442830833921414
E2020,1.1,0.5,ENTSOE,0.075,False,0.8584391667201285
E2020,1.1,0.5,SARIMAX,0.075,False,0.8584391667201285
E2020,1.1,0.5,LSTM,0.025,False,0.8584391667201285
E2020,1.1,1.0,ENTSOE,0.1,False,0.8584391667201285
E2020,1.1,1.0,SARIMAX,0.1,False,0.8584391667201285
E2020,1.1,1.0,LSTM,0.05,False,0.8584391667201285
E2020,1.1,2.0,ENTSOE,0.125,False,0.8584391667201285
E2020,1.1,2.0,SARIMAX,0.125,False,0.8584391667201285
E2020,1.1,2.0,LSTM,0.075,False,0.8584391667201285
E2020,1.1,5.0,ENTSOE,0.15,False,0.8584391667201285
E2020,1.1,5.0,SARIMAX,0.15,False,0.8584391667201285
E2020,1.1,5.0,LSTM,0.1,False,0.8584391667201285
E2020,1.2,0.5,ENTSOE,0.1,False,0.7869025694934512
E2020,1.2,0.5,SARIMAX,0.1,False,0.7869025694934512
E2020,1.2,0.5,LSTM,0.05,False,0.7869025694934512
E2020,1.2,1.0,ENTSOE,0.125,False,0.7869025694934512
E2020,1.2,1.0,SARIMAX,0.1,False,0.7869025694934512
E2020,1.2,1.0,LSTM,0.075,False,0.7869025694934512
E2020,1.2,2.0,ENTSOE,0.125,False,0.7869025694934512
E2020,1.2,2.0,SARIMAX,0.125,False,0.7869025694934512
E2020,1.2,2.0,LSTM,0.1,False,0.7869025694934512
E2020,1.2,5.0,ENTSOE,0.15,False,0.7869025694934512
E2020,1.2,5.0,SARIMAX,0.15,False,0.7869025694934512
E2020,1.2,5.0,LSTM,0.125,False,0.7869025694934512
E2020,1.3,0.5,ENTSOE,0.15,False,0.7263716026093396
E2020,1.3,0.5,SARIMAX,0.125,False,0.7263716026093396
E2020,1.3,0.5,LSTM,0.1,False,0.7263716026093396
E2020,1.3,1.0,ENTSOE,0.15,False,0.7263716026093396
E2020,1.3,1.0,SARIMAX,0.125,False,0.7263716026093396
E2020,1.3,1.0,LSTM,0.1,False,0.7263716026093396
E2020,1.3,2.0,ENTSOE,0.15,False,0.7263716026093396
E2020,1.3,2.0,SARIMAX,0.15,False,0.7263716026093396
E2020,1.3,2.0,LSTM,0.125,False,0.7263716026093396
E2020,1.3,5.0,ENTSOE,0.175,False,0.7263716026093396
E2020,1.3,5.0,SARIMAX,0.15,False,0.7263716026093396
E2020,1.3,5.0,LSTM,0.175,False,0.7263716026093396
E2020,1.4,0.5,ENTSOE,0.175,False,0.6744879167086725
E2020,1.4,0.5,SARIMAX,0.15,False,0.6744879167086725
E2020,1.4,0.5,LSTM,0.15,False,0.6744879167086725
E2020,1.4,1.0,ENTSOE,0.175,False,0.6744879167086725
E2020,1.4,1.0,SARIMAX,0.175,False,0.6744879167086725
E2020,1.4,1.0,LSTM,0.175,False,0.6744879167086725
E2020,1.4,2.0,ENTSOE,0.2,False,0.6744879167086725
E2020,1.4,2.0,SARIMAX,0.175,False,0.6744879167086725
E2020,1.4,2.0,LSTM,0.175,False,0.6744879167086725
E2020,1.4,5.0,ENTSOE,0.225,False,0.6744879167086725
E2020,1.4,5.0,SARIMAX,0.175,False,0.6744879167086725
E2020,1.4,5.0,LSTM,0.2,False,0.6744879167086725
E2021,1.0,0.5,ENTSOE,0.025,False,0.9496476780725117
E2021,1.0,0.5,SARIMAX,0.025,False,0.9496476780725117
E2021,1.0,0.5,LSTM,0.05,False,0.9496476780725117
E2021,1.0,1.0,ENTSOE,0.05,False,0.9496476780725117
E2021,1.0,1.0,SARIMAX,0.05,False,0.9496476780725117
E2021,1.0,1.0,LSTM,0.075,False,0.9496476780725117
E2021,1.0,2.0,ENTSOE,0.075,False,0.9496476780725117
E2021,1.0,2.0,SARIMAX,0.075,False,0.9496476780725117
E2021,1.0,2.0,LSTM,0.1,False,0.9496476780725117
E2021,1.0,5.0,ENTSOE,0.1,False,0.9496476780725117
E2021,1.0,5.0,SARIMAX,0.1,False,0.9496476780725117
E2021,1.0,5.0,LSTM,0.125,False,0.9496476780725117
E2021,1.1,0.5,ENTSOE,0.05,False,0.8633160709750106
E2021,1.1,0.5,SARIMAX,0.05,False,0.8633160709750106
E2021,1.1,0.5,LSTM,0.075,False,0.8633160709750106
E2021,1.1,1.0,ENTSOE,0.075,False,0.8633160709750106
E2021,1.1,1.0,SARIMAX,0.075,False,0.8633160709750106
E2021,1.1,1.0,LSTM,0.075,False,0.8633160709750106
E2021,1.1,2.0,ENTSOE,0.1,False,0.8633160709750106
E2021,1.1,2.0,SARIMAX,0.075,False,0.8633160709750106
E2021,1.1,2.0,LSTM,0.1,False,0.8633160709750106
E2021,1.1,5.0,ENTSOE,0.125,False,0.8633160709750106
E2021,1.1,5.0,SARIMAX,0.125,False,0.8633160709750106
E2021,1.1,5.0,LSTM,0.15,False,0.8633160709750106
E2021,1.2,0.5,ENTSOE,0.075,False,0.7913730650604265
E2021,1.2,0.5,SARIMAX,0.075,False,0.7913730650604265
E2021,1.2,0.5,LSTM,0.075,False,0.7913730650604265
E2021,1.2,1.0,ENTSOE,0.075,False,0.7913730650604265
E2021,1.2,1.0,SARIMAX,0.1,False,0.7913730650604265
E2021,1.2,1.0,LSTM,0.1,False,0.7913730650604265
E2021,1.2,2.0,ENTSOE,0.1,False,0.7913730650604265
E2021,1.2,2.0,SARIMAX,0.125,False,0.7913730650604265
E2021,1.2,2.0,LSTM,0.125,False,0.7913730650604265
E2021,1.2,5.0,ENTSOE,0.15,False,0.7913730650604265
E2021,1.2,5.0,SARIMAX,0.15,False,0.7913730650604265
E2021,1.2,5.0,LSTM,0.175,False,0.7913730650604265
E2021,1.3,0.5,ENTSOE,0.1,False,0.730498213901932
E2021,1.3,0.5,SARIMAX,0.125,False,0.730498213901932
E2021,1.3,0.5,LSTM,0.125,False,0.730498213901932
E2021,1.3,1.0,ENTSOE,0.125,False,0.730498213901932
E2021,1.3,1.0,SARIMAX,0.125,False,0.730498213901932
E2021,1.3,1.0,LSTM,0.125,False,0.730498213901932
E2021,1.3,2.0,ENTSOE,0.15,False,0.730498213901932
E2021,1.3,2.0,SARIMAX,0.15,False,0.730498213901932
E2021,1.3,2.0,LSTM,0.175,False,0.730498213901932
E2021,1.3,5.0,ENTSOE,0.175,False,0.730498213901932
E2021,1.3,5.0,SARIMAX,0.175,False,0.730498213901932
E2021,1.3,5.0,LSTM,0.2,False,0.730498213901932
E2021,1.4,0.5,ENTSOE,0.175,False,0.6783197700517941
E2021,1.4,0.5,SARIMAX,0.175,False,0.6783197700517941
E2021,1.4,0.5,LSTM,0.175,False,0.6783197700517941
E2021,1.4,1.0,ENTSOE,0.175,False,0.6783197700517941
E2021,1.4,1.0,SARIMAX,0.175,False,0.6783197700517941
E2021,1.4,1.0,LSTM,0.2,False,0.6783197700517941
E2021,1.4,2.0,ENTSOE,0.175,False,0.6783197700517941
E2021,1.4,2.0,SARIMAX,0.2,False,0.6783197700517941
E2021,1.4,2.0,LSTM,0.2,False,0.6783197700517941
E2021,1.4,5.0,ENTSOE,0.2,False,0.6783197700517941
E2021,1.4,5.0,SARIMAX,0.2,False,0.6783197700517941
E2021,1.4,5.0,LSTM,0.25,False,0.6783197700517941
E2022,1.0,0.5,ENTSOE,-0.025,False,0.9594105157487242
E2022,1.0,0.5,SARIMAX,0.075,False,0.9594105157487242
E2022,1.0,0.5,LSTM,0.025,False,0.9594105157487242
E2022,1.0,1.0,ENTSOE,0.0,False,0.9594105157487242
E2022,1.0,1.0,SARIMAX,0.125,False,0.9594105157487242
E2022,1.0,1.0,LSTM,0.05,False,0.9594105157487242
E2022,1.0,2.0,ENTSOE,0.025,False,0.9594105157487242
E2022,1.0,2.0,SARIMAX,0.15,False,0.9594105157487242
E2022,1.0,2.0,LSTM,0.075,False,0.9594105157487242
E2022,1.0,5.0,ENTSOE,0.05,False,0.9594105157487242
E2022,1.0,5.0,SARIMAX,0.15,False,0.9594105157487242
E2022,1.0,5.0,LSTM,0.1,False,0.9594105157487242
E2022,1.1,0.5,ENTSOE,0.0,False,0.8721913779533855
E2022,1.1,0.5,SARIMAX,0.1,False,0.8721913779533855
E2022,1.1,0.5,LSTM,0.025,False,0.8721913779533855
E2022,1.1,1.0,ENTSOE,0.0,False,0.8721913779533855
E2022,1.1,1.0,SARIMAX,0.125,False,0.8721913779533855
E2022,1.1,1.0,LSTM,0.05,False,0.8721913779533855
E2022,1.1,2.0,ENTSOE,0.025,False,0.8721913779533855
E2022,1.1,2.0,SARIMAX,0.15,False,0.8721913779533855
E2022,1.1,2.0,LSTM,0.075,False,0.8721913779533855
E2022,1.1,5.0,ENTSOE,0.05,False,0.8721913779533855
E2022,1.1,5.0,SARIMAX,0.175,False,0.8721913779533855
E2022,1.1,5.0,LSTM,0.1,False,0.8721913779533855
E2022,1.2,0.5,ENTSOE,0.025,False,0.7995087631239368
E2022,1.2,0.5,SARIMAX,0.125,False,0.7995087631239368
E2022,1.2,0.5,LSTM,0.05,False,0.7995087631239368
E2022,1.2,1.0,ENTSOE,0.025,False,0.7995087631239368
E2022,1.2,1.0,SARIMAX,0.15,False,0.7995087631239368
E2022,1.2,1.0,LSTM,0.075,False,0.7995087631239368
E2022,1.2,2.0,ENTSOE,0.05,False,0.7995087631239368
E2022,1.2,2.0,SARIMAX,0.15,False,0.7995087631239368
E2022,1.2,2.0,LSTM,0.1,False,0.7995087631239368
E2022,1.2,5.0,ENTSOE,0.05,False,0.7995087631239368
E2022,1.2,5.0,SARIMAX,0.175,False,0.7995087631239368
E2022,1.2,5.0,LSTM,0.125,False,0.7995087631239368
E2022,1.3,0.5,ENTSOE,0.05,False,0.73800808903748
E2022,1.3,0.5,SARIMAX,0.15,False,0.73800808903748
E2022,1.3,0.5,LSTM,0.1,False,0.73800808903748
E2022,1.3,1.0,ENTSOE,0.075,False,0.73800808903748
E2022,1.3,1.0,SARIMAX,0.15,False,0.73800808903748
E2022,1.3,1.0,LSTM,0.1,False,0.73800808903748
E2022,1.3,2.0,ENTSOE,0.075,False,0.73800808903748
E2022,1.3,2.0,SARIMAX,0.175,False,0.73800808903748
E2022,1.3,2.0,LSTM,0.125,False,0.73800808903748
E2022,1.3,5.0,ENTSOE,0.075,False,0.73800808903748
E2022,1.3,5.0,SARIMAX,0.175,False,0.73800808903748
E2022,1.3,5.0,LSTM,0.15,False,0.73800808903748
E2022,1.4,0.5,ENTSOE,0.05,False,0.685293225534803
E2022,1.4,0.5,SARIMAX,0.175,False,0.685293225534803
E2022,1.4,0.5,LSTM,0.125,False,0.685293225534803
E2022,1.4,1.0,ENTSOE,0.075,False,0.685293225534803
E2022,1.4,1.0,SARIMAX,0.175,False,0.685293225534803
E2022,1.4,1.0,LSTM,0.15,False,0.685293225534803
E2022,1.4,2.0,ENTSOE,0.075,False,0.685293225534803
E2022,1.4,2.0,SARIMAX,0.175,False,0.685293225534803
E2022,1.4,2.0,LSTM,0.175,False,0.685293225534803
E2022,1.4,5.0,ENTSOE,0.1,False,0.685293225534803
E2022,1.4,5.0,SARIMAX,0.175,False,0.685293225534803
E2022,1.4,5.0,LSTM,0.2,False,0.685293225534803
E2023,1.0,0.5,ENTSOE,-0.025,False,0.9633133161455646
E2023,1.0,0.5,SARIMAX,0.025,False,0.9633133161455646
E2023,1.0,0.5,LSTM,0.025,False,0.9633133161455646
E2023,1.0,1.0,ENTSOE,-0.025,False,0.9633133161455646
E2023,1.0,1.0,SARIMAX,0.05,False,0.9633133161455646
E2023,1.0,1.0,LSTM,0.05,False,0.9633133161455646
E2023,1.0,2.0,ENTSOE,0.0,False,0.9633133161455646
E2023,1.0,2.0,SARIMAX,0.075,False,0.9633133161455646
E2023,1.0,2.0,LSTM,0.075,False,0.9633133161455646
E2023,1.0,5.0,ENTSOE,0.025,False,0.9633133161455646
E2023,1.0,5.0,SARIMAX,0.125,False,0.9633133161455646
E2023,1.0,5.0,LSTM,0.1,False,0.9633133161455646
E2023,1.1,0.5,ENTSOE,-0.025,False,0.8757393783141496
E2023,1.1,0.5,SARIMAX,0.05,False,0.8757393783141496
E2023,1.1,0.5,LSTM,0.05,False,0.8757393783141496
E2023,1.1,1.0,ENTSOE,0.0,False,0.8757393783141496
E2023,1.1,1.0,SARIMAX,0.075,False,0.8757393783141496
E2023,1.1,1.0,LSTM,0.05,False,0.8757393783141496
E2023,1.1,2.0,ENTSOE,0.0,False,0.8757393783141496
E2023,1.1,2.0,SARIMAX,0.1,False,0.8757393783141496
E2023,1.1,2.0,LSTM,0.075,False,0.8757393783141496
E2023,1.1,5.0,ENTSOE,0.025,False,0.8757393783141496
E2023,1.1,5.0,SARIMAX,0.15,False,0.8757393783141496
E2023,1.1,5.0,LSTM,0.1,False,0.8757393783141496
E2023,1.2,0.5,ENTSOE,0.025,False,0.8027610967879705
E2023,1.2,0.5,SARIMAX,0.075,False,0.8027610967879705
E2023,1.2,0.5,LSTM,0.075,False,0.8027610967879705
E2023,1.2,1.0,ENTSOE,0.025,False,0.8027610967879705
E2023,1.2,1.0,SARIMAX,0.1,False,0.8027610967879705
E2023,1.2,1.0,LSTM,0.075,False,0.8027610967879705
E2023,1.2,2.0,ENTSOE,0.025,False,0.8027610967879705
E2023,1.2,2.0,SARIMAX,0.125,False,0.8027610967879705
E2023,1.2,2.0,LSTM,0.1,False,0.8027610967879705
E2023,1.2,5.0,ENTSOE,0.025,False,0.8027610967879705
E2023,1.2,5.0,SARIMAX,0.15,False,0.8027610967879705
E2023,1.2,5.0,LSTM,0.125,False,0.8027610967879705
E2023,1.3,0.5,ENTSOE,0.025,False,0.7410102431888959
E2023,1.3,0.5,SARIMAX,0.125,False,0.7410102431888959
E2023,1.3,0.5,LSTM,0.1,False,0.7410102431888959
E2023,1.3,1.0,ENTSOE,0.025,False,0.7410102431888959
E2023,1.3,1.0,SARIMAX,0.15,False,0.7410102431888959
E2023,1.3,1.0,LSTM,0.1,False,0.7410102431888959
E2023,1.3,2.0,ENTSOE,0.05,False,0.7410102431888959
E2023,1.3,2.0,SARIMAX,0.175,False,0.7410102431888959
E2023,1.3,2.0,LSTM,0.125,False,0.7410102431888959
E2023,1.3,5.0,ENTSOE,0.05,False,0.7410102431888959
E2023,1.3,5.0,SARIMAX,0.2,False,0.7410102431888959
E2023,1.3,5.0,LSTM,0.15,False,0.7410102431888959
E2023,1.4,0.5,ENTSOE,0.025,False,0.6880809401039748
E2023,1.4,0.5,SARIMAX,0.175,False,0.6880809401039748
E2023,1.4,0.5,LSTM,0.125,False,0.6880809401039748
E2023,1.4,1.0,ENTSOE,0.025,False,0.6880809401039748
E2023,1.4,1.0,SARIMAX,0.175,False,0.6880809401039748
E2023,1.4,1.0,LSTM,0.15,False,0.6880809401039748
