margin,voll_multiplier,model,n_replications,transfer_rate,mean_gain_pct,median_gain_pct,min_gain_pct,max_gain_pct,transfer_rate_pct
1.0,0.5,ENTSOE,9,0.8888888888888888,10.833847663317838,8.13760383382815,-12.912759066647958,29.223365909690084,88.88888888888889
1.0,0.5,LSTM,9,1.0,15.121607942660457,15.257896081025311,7.6548637596813585,25.883442108899345,100.0
1.0,0.5,SARIMAX,9,1.0,11.880805131529177,11.728865557623001,3.2620600248718867,18.684528302207166,100.0
1.0,1.0,ENTSOE,9,0.4444444444444444,16.947017349129325,0.0,-20.635544109726606,51.28626804678676,44.44444444444444
1.0,1.0,LSTM,9,1.0,33.019092482807544,34.08655454388066,18.819343041155662,46.84339759330313,100.0
1.0,1.0,SARIMAX,9,1.0,34.65631623587092,35.40419960319425,23.052368000601334,43.84069608465578,100.0
1.0,2.0,ENTSOE,9,0.5555555555555556,25.608278417379676,7.875077968106809,-19.708107447498097,69.89316861079057,55.55555555555556
1.0,2.0,LSTM,9,1.0,52.15844940335027,54.457377901315276,36.73704429032282,66.58840621142258,100.0
1.0,2.0,SARIMAX,9,1.0,57.05024692835676,58.565343838562285,45.84822883261326,66.40853654962625,100.0
1.0,5.0,ENTSOE,9,0.8888888888888888,40.81598939749838,24.854900407688202,-14.103588885632233,85.3704364069083,88.88888888888889
1.0,5.0,LSTM,9,1.0,72.57961999006602,74.37203326107858,58.72846480981902,83.20631757705179,100.0
1.0,5.0,SARIMAX,9,1.0,77.99622418562504,80.14688772056999,69.97807895522263,84.84993881867689,100.0
1.1,0.5,ENTSOE,9,0.4444444444444444,12.934385188379508,0.0,-50.57088243697525,51.72452909116131,44.44444444444444
1.1,0.5,LSTM,9,1.0,32.943615208073474,35.74650410179351,19.887425302418738,46.43466533067995,100.0
1.1,0.5,SARIMAX,9,1.0,31.00953915585984,32.66841065927817,18.046087879467464,35.663603700857095,100.0
1.1,1.0,ENTSOE,9,0.4444444444444444,20.924234948170536,0.0,-60.3003010467222,67.9428016465717,44.44444444444444
1.1,1.0,LSTM,9,1.0,51.34230097205003,50.74775301719097,37.394991579129155,66.0186399810427,100.0
1.1,1.0,SARIMAX,9,1.0,53.10476766853808,54.37187295803532,38.975526626572325,59.439387090421256,100.0
1.1,2.0,ENTSOE,9,0.5555555555555556,28.395130194342983,17.79258172070573,-49.61865282947982,80.00635843615659,55.55555555555556
1.1,2.0,LSTM,9,1.0,66.51421198882706,67.62645920518004,51.382904091986276,79.15122809218421,100.0
1.1,2.0,SARIMAX,9,1.0,70.12104251163305,71.85291162900086,57.9931609939524,76.07642850977247,100.0
1.1,5.0,ENTSOE,9,0.7777777777777778,47.557646737173414,42.701944935450335,-14.750541174400984,90.03103689643028,77.77777777777779
1.1,5.0,LSTM,9,1.0,80.274992701744,82.15012139782631,64.9368457007289,89.69526781450429,100.0
1.1,5.0,SARIMAX,9,1.0,84.84020990706803,86.80893411394472,78.15322686156279,89.73944927251975,100.0
1.2,0.5,ENTSOE,9,0.8888888888888888,29.258605073861663,9.314390799974067,-19.232262370309563,71.88904326735438,88.88888888888889
1.2,0.5,LSTM,9,1.0,53.09634454007242,54.57778704804396,38.671162430436176,64.48590023389886,100.0
1.2,0.5,SARIMAX,9,1.0,55.94410939920917,57.00308054527912,48.494298702582036,62.384526090375346,100.0
1.2,1.0,ENTSOE,9,1.0,41.644158939973245,21.45486418534421,5.768523454496621,82.41512483860274,100.0
1.2,1.0,LSTM,9,1.0,67.2557181920716,68.26308531879101,52.50260028238868,77.6649099768194,100.0
1.2,1.0,SARIMAX,9,1.0,71.39520403322234,71.30367805397168,66.75968210857317,76.0872316359492,100.0
1.2,2.0,ENTSOE,9,1.0,50.3691956945667,37.04808010138177,8.92911216205675,88.34663205165437,100.0
1.2,2.0,LSTM,9,1.0,77.69906341584498,79.89086264701402,63.661528211742784,86.39142253127514,100.0
1.2,2.0,SARIMAX,9,1.0,82.18849220942093,83.6742701194501,77.24254418642678,84.74597845121036,100.0
1.2,5.0,ENTSOE,9,1.0,64.99642026235105,62.964374198398076,17.481623696492306,94.48313875600316,100.0
1.2,5.0,LSTM,9,1.0,86.73517540114591,88.78094190482905,72.87558607263989,93.41082109599039,100.0
1.2,5.0,SARIMAX,9,1.0,91.103428946555,92.44543479346925,86.02976679573324,93.46587040202235,100.0
1.3,0.5,ENTSOE,9,1.0,38.829532330932075,17.49962077638782,3.1521588047777067,79.35612696098627,100.0
1.3,0.5,LSTM,9,1.0,63.87924166071033,65.97821309918739,53.09556327680277,71.38458855382804,100.0
1.3,0.5,SARIMAX,9,1.0,70.05865080615342,71.57161511937873,61.51498217629645,76.62054108063887,100.0
1.3,1.0,ENTSOE,9,1.0,49.867930806231634,36.74228190273221,8.031589417302424,88.36021261779878,100.0
1.3,1.0,LSTM,9,1.0,75.59400990205545,76.9803207380883,61.86125715674292,83.14726105906435,100.0
1.3,1.0,SARIMAX,9,1.0,81.36836000072637,82.93691738910498,74.47810067637717,85.60726771545117,100.0
1.3,2.0,ENTSOE,9,1.0,60.90059475734764,51.46109043864307,21.31602351312574,93.44842004434489,100.0
1.3,2.0,LSTM,9,1.0,84.10342968290158,85.77156150440528,71.12860103334812,90.11950360985581,100.0
1.3,2.0,SARIMAX,9,1.0,89.15300041943442,90.19713913153947,83.53478311076488,92.25860176370814,100.0
1.3,5.0,ENTSOE,9,1.0,74.50036622942753,68.90779905424031,45.10433753086326,96.76452720721792,100.0
1.3,5.0,LSTM,9,1.0,90.89071385625341,92.11262210403032,81.26062249070647,95.20371825085725,100.0
1.3,5.0,SARIMAX,9,1.0,94.73314083470679,95.74089326289602,91.19188725869711,96.19183133895662,100.0
1.4,0.5,ENTSOE,9,1.0,40.49321452228748,23.990836446235754,3.319198977617597,82.2707614372475,100.0
1.4,0.5,LSTM,9,1.0,67.0235125374774,68.61933539159827,59.15740495318091,74.43021477473553,100.0
1.4,0.5,SARIMAX,9,1.0,73.97547181999556,75.64826941879213,63.80720112879971,82.98481837078809,100.0
1.4,1.0,ENTSOE,9,1.0,51.871561712383794,38.682895816340704,8.599667446873408,89.87743888357956,100.0
1.4,1.0,LSTM,9,1.0,79.36450063557014,80.827156183925,71.48897431740762,84.2848435164389,100.0
1.4,1.0,SARIMAX,9,1.0,84.77273172918746,86.27954698773728,77.23878955838292,90.43711770778562,100.0
1.4,2.0,ENTSOE,9,1.0,64.0162756100338,53.02985494158375,21.73225829203186,94.58698270874741,100.0
1.4,2.0,LSTM,9,1.0,86.9941193426615,88.9685986884737,78.12643013387533,91.19790828780056,100.0
1.4,2.0,SARIMAX,9,1.0,91.50064199831996,92.61109675113093,86.80599816088971,94.5419254812165,100.0
1.4,5.0,ENTSOE,9,1.0,77.99625258612144,76.70617643967661,43.53118122723301,97.63107785585335,100.0
1.4,5.0,LSTM,9,1.0,92.82077260219359,94.25049893801622,85.08002477399985,96.32596480037384,100.0
1.4,5.0,SARIMAX,9,1.0,96.25787462071325,96.93748347284766,93.51709866247994,97.96708678517528,100.0
