strategy,mean_utility,median_utility,sd_utility,cumulative_utility
Availability-adjusted expected prediction,59.0918918918919,60.550000000000004,16.83777793432868,2186.4
No upside,56.853243243243234,57.370000000000005,16.72411333873838,2103.5699999999997
Expected-only normalized representation,56.758918918918916,54.37,15.310466242952126,2100.08
Full FAME-DOC,54.74621621621621,55.42000000000001,14.584628580832659,2025.61
Equal-weight representation,53.90108108108108,57.3,16.499281092719666,1994.34
No economic efficiency,53.86027027027027,54.37,13.374664998190191,1992.83
Pure conditional prediction,52.27891891891892,49.95,16.6297814817914,1934.32
No availability adjustment,48.416756756756754,47.03,12.681430004812821,1791.4199999999998
