temporada,rodada_target,lineup_strategy,captain_rule,captain_player_id,captain_realized_score,captain_bonus,final_team_utility_with_captain,oracle_realized_score,captain_regret_score,is_oracle
2025,12,FAME-DOC,Highest Conditional Prediction,107554,10.2,5.1,52.99,14.5,4.300000000000001,False
2025,12,FAME-DOC,Highest FAME Representation,107554,10.2,5.1,52.99,14.5,4.300000000000001,False
2025,13,FAME-DOC,Highest Market Value,96610,16.7,8.35,50.35,16.7,0.0,True
2025,13,FAME-DOC,Highest Historical Mean,96610,16.7,8.35,50.35,16.7,0.0,True
2025,13,FAME-DOC,Highest Expected Performance,96610,16.7,8.35,50.35,16.7,0.0,True
2025,13,FAME-DOC,Highest Conditional Prediction,99815,0.0,0.0,42.0,16.7,16.7,False
2025,13,FAME-DOC,Highest FAME Representation,107554,2.0,1.0,43.0,16.7,14.7,False
2025,14,FAME-DOC,Highest Market Value,96610,13.8,6.9,96.77,19.4,5.599999999999998,False
2025,14,FAME-DOC,Highest Historical Mean,96610,13.8,6.9,96.77,19.4,5.599999999999998,False
2025,14,FAME-DOC,Highest Expected Performance,96610,13.8,6.9,96.77,19.4,5.599999999999998,False
2025,14,FAME-DOC,Highest Conditional Prediction,96610,13.8,6.9,96.77,19.4,5.599999999999998,False
2025,14,FAME-DOC,Highest FAME Representation,78850,0.7,0.35,90.21999999999998,19.4,18.7,False
2025,15,FAME-DOC,Highest Market Value,96610,0.5,0.25,50.029999999999994,15.0,14.5,False
2025,15,FAME-DOC,Highest Historical Mean,96610,0.5,0.25,50.029999999999994,15.0,14.5,False
2025,15,FAME-DOC,Highest Expected Performance,96610,0.5,0.25,50.029999999999994,15.0,14.5,False
2025,15,FAME-DOC,Highest Conditional Prediction,96610,0.5,0.25,50.029999999999994,15.0,14.5,False
2025,15,FAME-DOC,Highest FAME Representation,96610,0.5,0.25,50.029999999999994,15.0,14.5,False
2025,16,FAME-DOC,Highest Market Value,96610,5.1,2.55,47.949999999999996,11.2,6.1,False
2025,16,FAME-DOC,Highest Historical Mean,96610,5.1,2.55,47.949999999999996,11.2,6.1,False
2025,16,FAME-DOC,Highest Expected Performance,96610,5.1,2.55,47.949999999999996,11.2,6.1,False
2025,16,FAME-DOC,Highest Conditional Prediction,96610,5.1,2.55,47.949999999999996,11.2,6.1,False
2025,16,FAME-DOC,Highest FAME Representation,78850,6.5,3.25,48.65,11.2,4.699999999999999,False
2025,17,FAME-DOC,Highest Market Value,68685,3.9,1.95,54.190000000000005,16.8,12.9,False
2025,17,FAME-DOC,Highest Historical Mean,80287,4.4,2.2,54.440000000000005,16.8,12.4,False
2025,17,FAME-DOC,Highest Expected Performance,80287,4.4,2.2,54.440000000000005,16.8,12.4,False
2025,17,FAME-DOC,Highest Conditional Prediction,80287,4.4,2.2,54.440000000000005,16.8,12.4,False
2025,17,FAME-DOC,Highest FAME Representation,80287,4.4,2.2,54.440000000000005,16.8,12.4,False
2025,18,FAME-DOC,Highest Market Value,96610,9.7,4.85,76.97,17.8,8.100000000000001,False
2025,18,FAME-DOC,Highest Historical Mean,96610,9.7,4.85,76.97,17.8,8.100000000000001,False
2025,18,FAME-DOC,Highest Expected Performance,96610,9.7,4.85,76.97,17.8,8.100000000000001,False
2025,18,FAME-DOC,Highest Conditional Prediction,96610,9.7,4.85,76.97,17.8,8.100000000000001,False
2025,18,FAME-DOC,Highest FAME Representation,80287,1.8,0.9,73.02000000000001,17.8,16.0,False
2025,19,FAME-DOC,Highest Market Value,96610,0.9,0.45,33.81,8.1,7.199999999999999,False
2025,19,FAME-DOC,Highest Historical Mean,96610,0.9,0.45,33.81,8.1,7.199999999999999,False
2025,19,FAME-DOC,Highest Expected Performance,96610,0.9,0.45,33.81,8.1,7.199999999999999,False
2025,19,FAME-DOC,Highest Conditional Prediction,96610,0.9,0.45,33.81,8.1,7.199999999999999,False
2025,19,FAME-DOC,Highest FAME Representation,78850,4.1,2.05,35.41,8.1,4.0,False
2025,20,FAME-DOC,Highest Market Value,63007,1.0,0.5,33.669999999999995,9.4,8.4,False
2025,20,FAME-DOC,Highest Historical Mean,96610,9.4,4.7,37.87,9.4,0.0,True
2025,20,FAME-DOC,Highest Expected Performance,63007,1.0,0.5,33.669999999999995,9.4,8.4,False
2025,20,FAME-DOC,Highest Conditional Prediction,63007,1.0,0.5,33.669999999999995,9.4,8.4,False
2025,20,FAME-DOC,Highest FAME Representation,63007,1.0,0.5,33.669999999999995,9.4,8.4,False
2025,21,FAME-DOC,Highest Market Value,96610,13.9,6.95,81.89000000000001,18.4,4.499999999999998,False
2025,21,FAME-DOC,Highest Historical Mean,96610,13.9,6.95,81.89000000000001,18.4,4.499999999999998,False
2025,21,FAME-DOC,Highest Expected Performance,96610,13.9,6.95,81.89000000000001,18.4,4.499999999999998,False
2025,21,FAME-DOC,Highest Conditional Prediction,96610,13.9,6.95,81.89000000000001,18.4,4.499999999999998,False
2025,21,FAME-DOC,Highest FAME Representation,78850,5.7,2.85,77.79,18.4,12.7,False
2025,22,FAME-DOC,Highest Market Value,96610,10.9,5.45,78.54,12.9,2.0,False
2025,22,FAME-DOC,Highest Historical Mean,96610,10.9,5.45,78.54,12.9,2.0,False
2025,22,FAME-DOC,Highest Expected Performance,96610,10.9,5.45,78.54,12.9,2.0,False
2025,22,FAME-DOC,Highest Conditional Prediction,96610,10.9,5.45,78.54,12.9,2.0,False
2025,22,FAME-DOC,Highest FAME Representation,78850,12.9,6.45,79.54,12.9,0.0,True
