lineup_strategy,captain_rule,mean_captain_bonus,mean_final_team_utility,mean_regret,oracle_hit_rate
Availability-adjusted expected prediction,Highest Historical Mean,3.2864864864864862,62.37837837837838,8.27837837837838,0.21621621621621623
Availability-adjusted expected prediction,Highest Conditional Prediction,3.2594594594594595,62.351351351351354,8.332432432432432,0.1891891891891892
Availability-adjusted expected prediction,Highest Market Value,3.1567567567567565,62.24864864864865,8.537837837837838,0.16216216216216217
Availability-adjusted expected prediction,Highest Expected Performance,2.7013513513513514,61.79324324324324,9.44864864864865,0.13513513513513514
FAME-DOC,Highest Market Value,3.494594594594595,58.24081081081081,7.848648648648648,0.16216216216216217
FAME-DOC,Highest Historical Mean,3.32972972972973,58.075945945945946,8.17837837837838,0.16216216216216217
FAME-DOC,Highest Expected Performance,3.3135135135135134,58.05972972972973,8.21081081081081,0.13513513513513514
FAME-DOC,Highest Conditional Prediction,2.860810810810811,57.60702702702703,9.116216216216216,0.05405405405405406
FAME-DOC,Highest FAME Representation,2.72972972972973,57.47594594594595,9.378378378378379,0.16216216216216217
FAME-Original 70/20/10,Highest Market Value,3.2472972972972975,57.48135135135135,7.964864864864865,0.10810810810810811
FAME-Original 70/20/10,Highest Expected Performance,3.2270270270270274,57.461081081081076,8.005405405405405,0.13513513513513514
FAME-Original 70/20/10,Highest Conditional Prediction,3.0121621621621624,57.24621621621622,8.435135135135136,0.10810810810810811
FAME-Original 70/20/10,Highest Historical Mean,2.983783783783784,57.217837837837834,8.49189189189189,0.10810810810810811
FAME-Original 70/20/10,Highest FAME Representation,2.555405405405405,56.78945945945946,9.348648648648648,0.16216216216216217
