temporada,n_decision_rows,pct_next_market_row,pct_missing_next_market,pct_zero_target,pct_participated_next
2021,29284,0.9948436006010107,0.005156399398989264,0.6340663843737194,0.38341756590629694
2022,29227,0.9942861053135799,0.00571389468642014,0.6131659082355356,0.4048995791562596
2023,28290,0.9941322021915872,0.005867797808412845,0.6157299399080948,0.4178154825026511
2024,27703,0.9941522578782082,0.0058477421217918435,0.6214128433743638,0.4150453019528571
2025,27770,0.993770255671588,0.006229744328411946,0.6194454447245229,0.41638458768455167
