season,round_target,position_id,position,n_train_performance,n_predicted,max_train_time_key,target_time_key,strict_no_future_training
2024,20,5,atacante,10478,196,202419,202420,True
2024,20,6,tecnico,2506,20,202419,202420,True
2024,21,1,goleiro,2456,78,202420,202421,True
2024,21,2,lateral,6057,108,202420,202421,True
2024,21,3,zagueiro,5867,126,202420,202421,True
2024,21,4,meia,12998,240,202420,202421,True
2024,21,5,atacante,10565,197,202420,202421,True
2024,21,6,tecnico,2526,20,202420,202421,True
2024,22,1,goleiro,2477,78,202421,202422,True
2024,22,2,lateral,6106,107,202421,202422,True
2024,22,3,zagueiro,5916,126,202421,202422,True
2024,22,4,meia,13112,234,202421,202422,True
2024,22,5,atacante,10645,189,202421,202422,True
2024,22,6,tecnico,2546,20,202421,202422,True
2024,23,1,goleiro,2497,78,202422,202423,True
2024,23,2,lateral,6157,106,202422,202423,True
2024,23,3,zagueiro,5967,126,202422,202423,True
2024,23,4,meia,13218,234,202422,202423,True
2024,23,5,atacante,10732,189,202422,202423,True
2024,23,6,tecnico,2566,20,202422,202423,True
2024,24,1,goleiro,2518,78,202423,202424,True
2024,24,2,lateral,6201,109,202423,202424,True
2024,24,3,zagueiro,6020,127,202423,202424,True
2024,24,4,meia,13333,234,202423,202424,True
2024,24,5,atacante,10817,189,202423,202424,True
2024,24,6,tecnico,2586,20,202423,202424,True
2024,25,1,goleiro,2536,78,202424,202425,True
2024,25,2,lateral,6241,113,202424,202425,True
2024,25,3,zagueiro,6066,129,202424,202425,True
2024,25,4,meia,13443,238,202424,202425,True
2024,25,5,atacante,10886,189,202424,202425,True
2024,25,6,tecnico,2606,19,202424,202425,True
2024,26,1,goleiro,2556,78,202425,202426,True
2024,26,2,lateral,6291,118,202425,202426,True
2024,26,3,zagueiro,6115,130,202425,202426,True
2024,26,4,meia,13555,241,202425,202426,True
2024,26,5,atacante,10970,192,202425,202426,True
2024,26,6,tecnico,2625,20,202425,202426,True
2024,27,1,goleiro,2576,80,202426,202427,True
2024,27,2,lateral,6341,121,202426,202427,True
2024,27,3,zagueiro,6163,131,202426,202427,True
2024,27,4,meia,13661,242,202426,202427,True
2024,27,5,atacante,11061,192,202426,202427,True
2024,27,6,tecnico,2645,20,202426,202427,True
2024,28,1,goleiro,2596,82,202427,202428,True
2024,28,2,lateral,6388,120,202427,202428,True
2024,28,3,zagueiro,6209,130,202427,202428,True
2024,28,4,meia,13777,241,202427,202428,True
2024,28,5,atacante,11149,188,202427,202428,True
2024,28,6,tecnico,2665,19,202427,202428,True
2024,29,1,goleiro,2616,82,202428,202429,True
2024,29,2,lateral,6434,120,202428,202429,True
2024,29,3,zagueiro,6257,130,202428,202429,True
2024,29,4,meia,13891,242,202428,202429,True
2024,29,5,atacante,11234,189,202428,202429,True
2024,29,6,tecnico,2684,20,202428,202429,True
2024,30,1,goleiro,2638,82,202429,202430,True
2024,30,2,lateral,6487,120,202429,202430,True
2024,30,3,zagueiro,6304,132,202429,202430,True
2024,30,4,meia,14003,242,202429,202430,True
2024,30,5,atacante,11320,188,202429,202430,True
2024,30,6,tecnico,2704,20,202429,202430,True
2024,31,1,goleiro,2658,82,202430,202431,True
2024,31,2,lateral,6535,120,202430,202431,True
2024,31,3,zagueiro,6350,133,202430,202431,True
2024,31,4,meia,14119,243,202430,202431,True
2024,31,5,atacante,11406,188,202430,202431,True
2024,31,6,tecnico,2724,20,202430,202431,True
2024,32,1,goleiro,2678,82,202431,202432,True
2024,32,2,lateral,6584,120,202431,202432,True
2024,32,3,zagueiro,6397,133,202431,202432,True
2024,32,4,meia,14238,244,202431,202432,True
2024,32,5,atacante,11482,189,202431,202432,True
2024,32,6,tecnico,2744,19,202431,202432,True
2024,33,1,goleiro,2697,82,202432,202433,True
2024,33,2,lateral,6632,119,202432,202433,True
2024,33,3,zagueiro,6442,133,202432,202433,True
2024,33,4,meia,14338,244,202432,202433,True
2024,33,5,atacante,11557,189,202432,202433,True
2024,33,6,tecnico,2763,20,202432,202433,True
2024,34,1,goleiro,2711,82,202433,202434,True
2024,34,2,lateral,6667,119,202433,202434,True
2024,34,3,zagueiro,6476,133,202433,202434,True
2024,34,4,meia,14412,244,202433,202434,True
2024,34,5,atacante,11622,190,202433,202434,True
2024,34,6,tecnico,2783,20,202433,202434,True
2024,35,1,goleiro,2729,82,202434,202435,True
2024,35,2,lateral,6713,119,202434,202435,True
2024,35,3,zagueiro,6520,134,202434,202435,True
2024,35,4,meia,14512,245,202434,202435,True
2024,35,5,atacante,11696,190,202434,202435,True
2024,35,6,tecnico,2803,20,202434,202435,True
2024,36,1,goleiro,2749,82,202435,202436,True
2024,36,2,lateral,6760,120,202435,202436,True
2024,36,3,zagueiro,6567,134,202435,202436,True
2024,36,4,meia,14631,243,202435,202436,True
2024,36,5,atacante,11781,190,202435,202436,True
2024,36,6,tecnico,2823,20,202435,202436,True
2024,37,1,goleiro,2765,82,202436,202437,True
2024,37,2,lateral,6802,120,202436,202437,True
2024,37,3,zagueiro,6607,135,202436,202437,True
2024,37,4,meia,14720,244,202436,202437,True
2024,37,5,atacante,11846,191,202436,202437,True
2024,37,6,tecnico,2843,20,202436,202437,True
2024,38,1,goleiro,2784,82,202437,202438,True
2024,38,2,lateral,6852,120,202437,202438,True
2024,38,3,zagueiro,6650,135,202437,202438,True
2024,38,4,meia,14821,244,202437,202438,True
2024,38,5,atacante,11918,192,202437,202438,True
2024,38,6,tecnico,2863,20,202437,202438,True
2025,2,1,goleiro,2804,58,202438,202502,True
2025,2,2,lateral,6906,100,202438,202502,True
2025,2,3,zagueiro,6697,108,202438,202502,True
2025,2,4,meia,14935,183,202438,202502,True
2025,2,5,atacante,11997,150,202438,202502,True
2025,2,6,tecnico,2883,20,202438,202502,True
2025,3,1,goleiro,2825,65,202502,202503,True
2025,3,2,lateral,6971,105,202502,202503,True
2025,3,3,zagueiro,6750,113,202502,202503,True
2025,3,4,meia,15052,206,202502,202503,True
2025,3,5,atacante,12100,165,202502,202503,True
2025,3,6,tecnico,2903,20,202502,202503,True
2025,4,1,goleiro,2845,65,202503,202504,True
2025,4,2,lateral,7020,106,202503,202504,True
2025,4,3,zagueiro,6798,116,202503,202504,True
2025,4,4,meia,15155,210,202503,202504,True
2025,4,5,atacante,12193,170,202503,202504,True
2025,4,6,tecnico,2923,20,202503,202504,True
2025,5,1,goleiro,2864,66,202504,202505,True
2025,5,2,lateral,7064,107,202504,202505,True
2025,5,3,zagueiro,6840,118,202504,202505,True
2025,5,4,meia,15255,213,202504,202505,True
2025,5,5,atacante,12273,171,202504,202505,True
2025,5,6,tecnico,2943,20,202504,202505,True
2025,6,1,goleiro,2884,67,202505,202506,True
2025,6,2,lateral,7113,108,202505,202506,True
2025,6,3,zagueiro,6887,119,202505,202506,True
2025,6,4,meia,15365,216,202505,202506,True
2025,6,5,atacante,12363,173,202505,202506,True
2025,6,6,tecnico,2963,20,202505,202506,True
2025,7,1,goleiro,2904,68,202506,202507,True
2025,7,2,lateral,7163,111,202506,202507,True
2025,7,3,zagueiro,6934,121,202506,202507,True
2025,7,4,meia,15469,217,202506,202507,True
2025,7,5,atacante,12457,175,202506,202507,True
2025,7,6,tecnico,2983,20,202506,202507,True
2025,8,1,goleiro,2922,69,202507,202508,True
