season,estimand,position,model,n,MAE,RMSE,R2,correlation
2024,conditional_performance_given_participation,ALL,Historical conditional mean baseline,10289,2.8342360126254933,3.8021048043954306,-0.06575202781419587,0.1971080281397564
2024,conditional_performance_given_participation,goleiro,Historical conditional mean baseline,623,3.2035727417999076,3.946210851123824,-0.17924982115633137,-0.02186055418531222
2024,conditional_performance_given_participation,lateral,Historical conditional mean baseline,1544,3.0743133865505334,3.920366330720315,-0.12478357067880363,0.09637517199461691
2024,conditional_performance_given_participation,zagueiro,Historical conditional mean baseline,1471,2.861526965932293,3.5911408906909505,-0.1912136111187417,0.01393262608849878
2024,conditional_performance_given_participation,meia,Historical conditional mean baseline,3414,2.510899127807397,3.5036257376636724,-0.04271618216733075,0.242165085024257
2024,conditional_performance_given_participation,atacante,Historical conditional mean baseline,2584,3.1438434399571182,4.362058852653925,-0.05505425976544398,0.20801071649499123
2024,conditional_performance_given_participation,tecnico,Historical conditional mean baseline,653,2.3180419737492928,2.8381755653185268,-0.12736192576574412,0.05920510716666646
2024,conditional_performance_given_participation,ALL,Random Forest,11498,2.6030767071771757,3.5107119652461045,0.07900289894033685,0.28757605229438943
2024,conditional_performance_given_participation,goleiro,Random Forest,693,3.045158296148949,3.625198028580806,0.004108316668778089,0.08781545797794789
2024,conditional_performance_given_participation,lateral,Random Forest,1713,2.885433516133052,3.6306909226237614,0.01847054338480436,0.15371395223582268
2024,conditional_performance_given_participation,zagueiro,Random Forest,1649,2.6808784953906084,3.31510351483941,-0.003163429611065638,0.039737837831066304
2024,conditional_performance_given_participation,meia,Random Forest,3802,2.2778903377622535,3.2655798993950653,0.08841182020879479,0.3084239289108124
2024,conditional_performance_given_participation,atacante,Random Forest,2905,2.8741196700814973,4.016294553578212,0.07989971482075009,0.29386089293947826
2024,conditional_performance_given_participation,tecnico,Random Forest,736,1.965364568068035,2.472544064156147,0.15006887892843124,0.4033408629400741
2024,conditional_performance_given_participation,ALL,XGBoost,11498,2.599617869334545,3.509421882694248,0.07967965282669465,0.28913947747987734
2024,conditional_performance_given_participation,goleiro,XGBoost,693,3.0496095984873146,3.6289340416137144,0.0020545907880377134,0.06408351673021692
2024,conditional_performance_given_participation,lateral,XGBoost,1713,2.886638822488735,3.633450819174326,0.016977742470577817,0.14982730050479554
2024,conditional_performance_given_participation,zagueiro,XGBoost,1649,2.6786229805052826,3.310209851957695,-0.00020393211863001248,0.0510915632845715
2024,conditional_performance_given_participation,meia,XGBoost,3802,2.2694130605424725,3.2612306831094657,0.09083837482912027,0.31385697667386847
2024,conditional_performance_given_participation,atacante,XGBoost,2905,2.8651118494270182,4.016399895973284,0.07985144802279864,0.2944461562728963
2024,conditional_performance_given_participation,tecnico,XGBoost,736,1.9887321104789557,2.4730042415876996,0.14975247970018601,0.4107803248953228
2024,conditional_performance_given_participation,ALL,OOF-weighted RF/XGB ensemble,11498,2.6002632846279603,3.5093760747734897,0.07970367825755165,0.2889912559904997
2024,conditional_performance_given_participation,goleiro,OOF-weighted RF/XGB ensemble,693,3.0496095984873146,3.6289340416137144,0.0020545907880377134,0.06408351673021692
2024,conditional_performance_given_participation,lateral,OOF-weighted RF/XGB ensemble,1713,2.8848452195158636,3.63016320683488,0.018755850484496794,0.1541593759628077
2024,conditional_performance_given_participation,zagueiro,OOF-weighted RF/XGB ensemble,1649,2.680265994289721,3.3136908543994044,-0.0023086585030958062,0.042728424883572244
2024,conditional_performance_given_participation,meia,OOF-weighted RF/XGB ensemble,3802,2.2731069783376574,3.262528540820402,0.09011460068822885,0.3122220380561678
2024,conditional_performance_given_participation,atacante,OOF-weighted RF/XGB ensemble,2905,2.8688771964021695,4.015057113582497,0.08046660227307245,0.2953515129837025
2024,conditional_performance_given_participation,tecnico,OOF-weighted RF/XGB ensemble,736,1.965364568068035,2.472544064156147,0.15006887892843124,0.4033408629400741
2024,unconditional_realized_points,ALL,Historical unconditional mean baseline,26760,1.5687702180456486,2.7164988821807112,0.09830748095728914,0.3675579425623886
2024,unconditional_realized_points,goleiro,Historical unconditional mean baseline,2712,1.0228380635183574,2.139095018852321,0.20605336486823167,0.46530701543377206
2024,unconditional_realized_points,lateral,Historical unconditional mean baseline,4007,1.8862749820273805,2.9765758795938244,0.05386569145103348,0.317120239701081
2024,unconditional_realized_points,zagueiro,Historical unconditional mean baseline,4440,1.4396734057782457,2.420954028052031,0.019163606603395333,0.25842692329412426
2024,unconditional_realized_points,meia,Historical unconditional mean baseline,8275,1.4705961211695124,2.575719354038001,0.06443381741220244,0.33161521741418615
2024,unconditional_realized_points,atacante,Historical unconditional mean baseline,6630,1.7372936408395694,3.086476990801496,0.06423357982573163,0.3348980689547401
2024,unconditional_realized_points,tecnico,Historical unconditional mean baseline,696,2.2535354749376264,2.8056773169570466,-0.10415769798831165,0.13323963551715604
2024,unconditional_realized_points,ALL,Availability-adjusted expected prediction,27703,1.4007457373483412,2.4878977964803686,0.23762647202973453,0.4890650209720721
2024,unconditional_realized_points,goleiro,Availability-adjusted expected prediction,2800,0.9533872496418299,1.9458032488655672,0.33359671758441634,0.5798823637006746
2024,unconditional_realized_points,lateral,Availability-adjusted expected prediction,4144,1.6869842769408951,2.7107316851632945,0.20554028000647162,0.454453890510225
2024,unconditional_realized_points,zagueiro,Availability-adjusted expected prediction,4591,1.3323121824330906,2.245731475634324,0.145039913521274,0.38126629021781894
2024,unconditional_realized_points,meia,Availability-adjusted expected prediction,8566,1.2830794176204365,2.3549749363749966,0.21374585837076532,0.4664961875610271
2024,unconditional_realized_points,atacante,Availability-adjusted expected prediction,6866,1.5424556038648187,2.8369691227760443,0.20486631930114518,0.45454376719118367
2024,unconditional_realized_points,tecnico,Availability-adjusted expected prediction,736,1.965364568068035,2.472544064156147,0.15006887892843124,0.4033408629400741
2025,conditional_performance_given_participation,ALL,Historical conditional mean baseline,10302,3.050404085781638,4.06242004280059,-0.041711019761627055,0.2321722864532666
2025,conditional_performance_given_participation,goleiro,Historical conditional mean baseline,611,3.739213274191351,4.625442322509782,-0.16615022893767217,0.014914937431387809
2025,conditional_performance_given_participation,lateral,Historical conditional mean baseline,1592,3.4450609903360063,4.357894528881585,-0.11786814487303077,0.15851887251251134
2025,conditional_performance_given_participation,zagueiro,Historical conditional mean baseline,1414,3.055229235166736,3.8649054485463123,-0.19556999308858858,0.07762650977144227
2025,conditional_performance_given_participation,meia,Historical conditional mean baseline,3263,2.574968102578914,3.5502996083787313,-0.020033247580837132,0.2518322823179725
2025,conditional_performance_given_participation,atacante,Historical conditional mean baseline,2769,3.360695501450132,4.584834174466266,-0.033198152058100394,0.21190894240372543
2025,conditional_performance_given_participation,tecnico,Historical conditional mean baseline,653,2.4932397914554767,3.0945958761277517,-0.09541936866047318,0.1587715223364373
2025,conditional_performance_given_participation,ALL,Random Forest,11563,2.8103450189853,3.7794484747416024,0.08241031060776205,0.30155145137226746
2025,conditional_performance_given_participation,goleiro,Random Forest,695,3.420323260625084,4.2386099898136935,-0.017384093492009978,0.05716828054627868
2025,conditional_performance_given_participation,lateral,Random Forest,1771,3.197490846719945,4.045526489636821,0.0280876251360882,0.20323677034264906
2025,conditional_performance_given_participation,zagueiro,Random Forest,1608,2.7922457591112484,3.555153960783787,-0.011510789749832995,0.11402346688602105
2025,conditional_performance_given_participation,meia,Random Forest,3651,2.3977058641461313,3.3221515833509363,0.08815790752024844,0.30392037982762615
2025,conditional_performance_given_participation,atacante,Random Forest,3101,3.09581089781514,4.300048127100499,0.0708655949156004,0.2747221249098388
2025,conditional_performance_given_participation,tecnico,Random Forest,737,2.1873454736477767,2.790804817871751,0.10839900531661006,0.3583490644862348
2025,conditional_performance_given_participation,ALL,XGBoost,11563,2.8093717168367807,3.7800710712979644,0.08210797271939374,0.30251244228985197
2025,conditional_performance_given_participation,goleiro,XGBoost,695,3.4242993134560344,4.244466369895473,-0.020197423377830592,0.030231431543367566
2025,conditional_performance_given_participation,lateral,XGBoost,1771,3.1926182364017395,4.045390185294145,0.028153116560260205,0.20585076992178145
2025,conditional_performance_given_participation,zagueiro,XGBoost,1608,2.7904567761504233,3.5529828888184434,-0.010275742157836554,0.1300405628088016
2025,conditional_performance_given_participation,meia,XGBoost,3651,2.3952958589513083,3.3185749424358053,0.09012023589287166,0.3066649578813836
2025,conditional_performance_given_participation,atacante,XGBoost,3101,3.091288543385638,4.304284033820361,0.06903414323711543,0.2724390387317494
2025,conditional_performance_given_participation,tecnico,XGBoost,737,2.2149047383233356,2.7957489044598027,0.10523715239774512,0.3612395417049252
2025,conditional_performance_given_participation,ALL,OOF-weighted RF/XGB ensemble,11563,2.8089731851905517,3.7790873370906035,0.08258565913029259,0.30225408057086084
2025,conditional_performance_given_participation,goleiro,OOF-weighted RF/XGB ensemble,695,3.4242993134560344,4.244466369895473,-0.020197423377830592,0.030231431543367566
2025,conditional_performance_given_participation,lateral,OOF-weighted RF/XGB ensemble,1771,3.196060535287899,4.044631103923793,0.02851779913367669,0.20480090104573562
2025,conditional_performance_given_participation,zagueiro,OOF-weighted RF/XGB ensemble,1608,2.7916867868715602,3.554398234329241,-0.011080797561842992,0.11887370234200824
2025,conditional_performance_given_participation,meia,OOF-weighted RF/XGB ensemble,3651,2.395635084838921,3.319530730780807,0.08959604841842339,0.3062494219658414
2025,conditional_performance_given_participation,atacante,OOF-weighted RF/XGB ensemble,3101,3.0933492574642867,4.300757883370602,0.07055884793292022,0.27470491233805716
2025,conditional_performance_given_participation,tecnico,OOF-weighted RF/XGB ensemble,737,2.1873454736477767,2.790804817871751,0.10839900531661006,0.3583490644862348
2025,unconditional_realized_points,ALL,Historical unconditional mean baseline,26803,1.6711068918821501,2.897608728511076,0.12839477115762188,0.38767213627861036
2025,unconditional_realized_points,goleiro,Historical unconditional mean baseline,2784,1.1935750331871242,2.5167366082202673,0.1912825163552322,0.4526322046999288
2025,unconditional_realized_points,lateral,Historical unconditional mean baseline,4235,2.0695049134503987,3.2609892183646494,0.09608732439249179,0.35691428232769723
2025,unconditional_realized_points,zagueiro,Historical unconditional mean baseline,4489,1.5293676691685985,2.5944152475984907,0.07406445331638933,0.3214755127885681
2025,unconditional_realized_points,meia,Historical unconditional mean baseline,8111,1.44723910158989,2.546619321017292,0.09860829965838924,0.35231779617989356
2025,unconditional_realized_points,atacante,Historical unconditional mean baseline,6491,1.9055016367558497,3.3475259288376464,0.08653424871020865,0.3308350548372089
2025,unconditional_realized_points,tecnico,Historical unconditional mean baseline,693,2.497709780932487,3.1365169390682395,-0.12175027649884052,0.13982349715861275
2025,unconditional_realized_points,ALL,Availability-adjusted expected prediction,27770,1.5613230531785176,2.710839587726568,0.23661083881883538,0.48800590569316415
2025,unconditional_realized_points,goleiro,Availability-adjusted expected prediction,2883,1.0957189034431716,2.298296485469544,0.32061080413899434,0.5791724083450126
2025,unconditional_realized_points,lateral,Availability-adjusted expected prediction,4377,1.9268066863480493,3.0331396484247635,0.21951772662293556,0.46957263902674834
2025,unconditional_realized_points,zagueiro,Availability-adjusted expected prediction,4647,1.4229581634353063,2.4228670343822922,0.18705343581705802,0.43694230436741943
2025,unconditional_realized_points,meia,Availability-adjusted expected prediction,8400,1.3735265623198425,2.3962732683151327,0.20209293607385903,0.44972170886217333
2025,unconditional_realized_points,atacante,Availability-adjusted expected prediction,6726,1.784592238915611,3.1637390180973433,0.18325807365302693,0.4293662956131458
2025,unconditional_realized_points,tecnico,Availability-adjusted expected prediction,737,2.1873454736477767,2.790804817871751,0.10839900531661006,0.3583490644862348
