temporada,rodada_target,strategy,score_column,operational_utility_no_captain,objective_value,cost_total,budget_remaining,budget_binding_indicator,formation_selected,n_selected,lineup_signature
2025,2,FAME-DOC,score_fame_doc,32.78,9.81926494345719,110.0,0.0,True,4-3-3,12,104027|109096|113078|70916|81881|82627|89256|90768|93478|97653|99228|99267
2025,3,FAME-DOC,score_fame_doc,54.37,10.177225519287834,109.49000000000001,0.5099999999999909,False,4-3-3,12,107771|110510|111594|112709|142279|37715|89256|90285|93879|94207|94509|99815
2025,4,FAME-DOC,score_fame_doc,39.53,10.300109170305676,108.49,1.5100000000000051,False,4-3-3,12,102975|104085|110818|112709|112886|117910|72018|77664|87999|91607|92087|95131
2025,5,FAME-DOC,score_fame_doc,52.28,10.856906474820144,109.99,0.010000000000005116,False,4-3-3,12,101290|104118|105811|107093|107111|122302|141763|37457|52827|71684|85403|99815
2025,6,FAME-DOC,score_fame_doc,71.1,11.011237553342815,109.61,0.39000000000000057,False,4-3-3,12,101290|103056|103445|107111|110715|141525|37457|70360|78850|91866|98672|99815
2025,7,FAME-DOC,score_fame_doc,46.16,11.060884831460674,109.23,0.769999999999996,False,4-3-3,12,103056|104204|37457|70360|78445|78850|90703|91866|97900|98672|98909|99815
2025,8,FAME-DOC,score_fame_doc,69.92999999999999,10.97170868347339,109.97,0.030000000000001137,False,4-3-3,12,103056|104271|104528|122302|37457|68685|70360|78850|90703|91866|96610|97900
2025,9,FAME-DOC,score_fame_doc,60.800000000000004,11.020588235294118,109.56999999999998,0.43000000000002103,False,4-3-3,12,104085|104271|104528|37457|70360|78850|81121|87008|87999|91607|91866|99815
2025,10,FAME-DOC,score_fame_doc,58.11999999999999,11.091980474198047,109.42999999999999,0.5700000000000074,False,4-3-3,12,103056|104204|104271|104754|70360|71684|78850|82627|90703|98619|99267|99815
2025,11,FAME-DOC,score_fame_doc,40.730000000000004,11.039097222222221,109.79,0.20999999999999375,False,4-3-3,12,104204|104271|104754|106593|109401|131617|78850|87008|87999|90703|97653|99815
2025,12,FAME-DOC,score_fame_doc,47.89,11.229063360881545,109.00999999999999,0.9900000000000091,False,4-3-3,12,104250|104754|107554|109401|110715|115248|122486|70360|87008|91866|96610|99267
