replication_id,margin,voll_multiplier,voll,model,theta,mean_loss,total_shortage_mw,total_emergency_mw,mean_decision_cost
E2017,1.0,0.5,5000.0,ENTSOE,-0.3,11277640.335497158,814041.65980477,0.0,156852.63324619932
E2017,1.0,0.5,5000.0,ENTSOE,-0.275,10551731.378149394,760540.6598047703,0.0,161831.65404051187
E2017,1.0,0.5,5000.0,ENTSOE,-0.25,9806412.24896839,705605.6598047703,0.0,166990.66693601114
E2017,1.0,0.5,5000.0,ENTSOE,-0.225,9040268.878236929,649126.6598047703,0.0,172418.3344559164
E2017,1.0,0.5,5000.0,ENTSOE,-0.2,8259381.297687958,591497.6103245928,196.04948017733113,178812.85063067882
E2017,1.0,0.5,5000.0,ENTSOE,-0.175,7453489.861517877,531998.2023950182,405.4574097520581,185754.8561214561
E2017,1.0,0.5,5000.0,ENTSOE,-0.15,6645108.675108117,472157.80053400865,888.8592707614862,194865.49841401094
E2017,1.0,0.5,5000.0,ENTSOE,-0.125,5824214.3233621,410615.45941341075,3995.861722309537,214713.51170348277
E2017,1.0,0.5,5000.0,ENTSOE,-0.1,5014143.329634584,347881.6241907166,14525.696945003716,261662.1248433739
E2017,1.0,0.5,5000.0,ENTSOE,-0.075,4218430.408748021,283689.1608799305,34560.284745190234,342895.4240495169
E2017,1.0,0.5,5000.0,ENTSOE,-0.05,3448717.2380657652,218250.65260243532,67039.73480825794,467150.9456827686
E2017,1.0,0.5,5000.0,ENTSOE,-0.025,2743719.87845618,154953.2314898945,109864.5006066383,626872.453730845
E2017,1.0,0.5,5000.0,ENTSOE,0.0,2172446.9186871084,100393.09923449224,156804.03289783676,800956.4919863952
E2017,1.0,0.5,5000.0,ENTSOE,0.025,1819701.0518109698,61100.60887022791,206501.82502832677,984993.2803597687
E2017,1.0,0.5,5000.0,ENTSOE,0.05,1704692.189196326,38540.47664471656,258756.85280370456,1178182.9454160454
E2017,1.0,0.5,5000.0,ENTSOE,0.075,1752503.0227849802,27271.58114151383,313407.1980644561,1379940.438884518
E2017,1.0,0.5,5000.0,ENTSOE,0.1,1882187.8969759287,21522.609200353574,369794.58352188463,1588163.1811241042
E2017,1.0,0.5,5000.0,ENTSOE,0.125,2035097.75417604,16981.660913358748,427926.7520757955,1803107.8509880786
E2017,1.0,0.5,5000.0,ENTSOE,0.15,2215950.466853054,13693.420942435063,489052.63605052105,2028881.8747432851
E2017,1.0,0.5,5000.0,ENTSOE,0.175,2421550.936779463,11411.877824160823,553165.7095601404,2265650.966504042
E2017,1.0,0.5,5000.0,ENTSOE,0.2,2645706.927137283,9623.655574571443,620457.1578338735,2514236.2225666353
E2017,1.0,0.5,5000.0,ENTSOE,0.225,2891238.8512262357,8188.038628126438,692359.8589045939,2779380.4000223232
E2017,1.0,0.5,5000.0,ENTSOE,0.25,3153086.0063156653,6674.2858627506885,769130.1518059756,3061907.2376988526
E2017,1.0,0.5,5000.0,ENTSOE,0.275,3436083.2432715087,5559.744725508559,850256.35958424,3360130.446474943
E2017,1.0,0.5,5000.0,ENTSOE,0.3,3735993.0222261185,4423.41160350117,936250.1554658334,3675563.9019597084
E2017,1.0,0.5,5000.0,SARIMAX,-0.3,10379995.602644876,747908.1764101731,0.0,162670.78829825032
E2017,1.0,0.5,5000.0,SARIMAX,-0.275,9636117.457484355,693076.2506061009,0.0,167862.66778352324
E2017,1.0,0.5,5000.0,SARIMAX,-0.25,8881661.373817567,637456.7133797866,0.0,173236.32764561716
E2017,1.0,0.5,5000.0,SARIMAX,-0.225,8120088.960845976,581294.2237859939,0.0,178911.04027228884
E2017,1.0,0.5,5000.0,SARIMAX,-0.2,7348885.796129297,524384.5506607112,0.0,185162.4264474493
E2017,1.0,0.5,5000.0,SARIMAX,-0.175,6589319.005784083,468189.6103309846,298.69421122795575,193286.07776516888
E2017,1.0,0.5,5000.0,SARIMAX,-0.15,5837787.048393492,411695.19914038817,3742.2014705458832,213535.69401660503
E2017,1.0,0.5,5000.0,SARIMAX,-0.125,5095838.476257748,354808.29864594236,11134.415732994694,248730.57125853587
E2017,1.0,0.5,5000.0,SARIMAX,-0.1,4383177.780796177,297598.0736736436,28162.745537731207,317630.3262382049
E2017,1.0,0.5,5000.0,SARIMAX,-0.075,3707958.904422894,241540.93148309182,51281.927431483484,408219.4032877604
E2017,1.0,0.5,5000.0,SARIMAX,-0.05,3110799.184250747,189286.0708498773,82042.90512930296,524923.8994163581
E2017,1.0,0.5,5000.0,SARIMAX,-0.025,2630010.104864212,144738.5873325972,115913.33865994189,652706.9992276381
E2017,1.0,0.5,5000.0,SARIMAX,0.0,2281203.794489218,109478.83123497579,150856.46069448988,785591.3459239749
E2017,1.0,0.5,5000.0,SARIMAX,0.025,2089062.358660449,84477.86263443436,190317.3210054466,934993.1969878486
E2017,1.0,0.5,5000.0,SARIMAX,0.05,1997420.2557081955,65108.3988652139,236389.1481128818,1107961.2548172951
E2017,1.0,0.5,5000.0,SARIMAX,0.075,1939872.1283682259,46635.834947690004,288507.10560805874,1302770.558044592
E2017,1.0,0.5,5000.0,SARIMAX,0.1,1916758.5444791603,28970.25364879409,347135.400758652,1520990.052009296
E2017,1.0,0.5,5000.0,SARIMAX,0.125,1949682.6755458503,13455.90173797351,413282.77781657386,1765858.8813112401
E2017,1.0,0.5,5000.0,SARIMAX,0.15,2079474.7522992296,3242.594336682574,486306.63106599805,2035177.0154593037
E2017,1.0,0.5,5000.0,SARIMAX,0.175,2336394.8871811596,639.4427467726146,565816.2606984986,2327659.3305312605
E2017,1.0,0.5,5000.0,SARIMAX,0.2,2645834.1906503523,91.0280524937898,652393.9686015423,2644590.6380206556
E2017,1.0,0.5,5000.0,SARIMAX,0.225,2978036.90973055,0.0,743712.500479433,2978036.90973055
E2017,1.0,0.5,5000.0,SARIMAX,0.25,3320006.5999685414,0.0,837366.5103526289,3320006.5999685414
E2017,1.0,0.5,5000.0,SARIMAX,0.275,3670633.294130611,0.0,933391.3827733613,3670633.294130611
