replication_id,stage,model,rmse,mae,mape,bias
E2017,calibration,ENTSOE,614.4757917071474,375.3170218579235,0.04456408131005947,-215.39613387978147
E2017,calibration,SARIMAX,899.62398972992,694.3017151216044,0.08718735993476877,50.01216621841708
E2017,calibration,LSTM,499.3911390668248,302.04810274718244,0.03744972278531096,-36.04584587389006
E2017,test,ENTSOE,430.09310377420223,341.7756917808219,0.04073552383399406,-191.6268972602739
E2017,test,SARIMAX,912.4909245864075,712.3065807879015,0.08949509640618686,42.53043427869217
E2017,test,LSTM,576.3034212307733,349.0850014982877,0.04386495526022748,-34.00780351027394
E2018,calibration,ENTSOE,430.09310377420223,341.7756917808219,0.04073552383399406,-191.6268972602739
E2018,calibration,SARIMAX,863.9178478511491,639.8974150701665,0.08105760242140284,79.04682096829588
E2018,calibration,LSTM,486.43291656594585,290.8159047517123,0.036388995775448546,-11.703993578767083
E2018,test,ENTSOE,444.42720574982735,343.7519520547945,0.04138929549429647,-224.5960616438356
E2018,test,SARIMAX,844.2761739728196,619.0871184861742,0.08025562424341905,144.09116255614276
E2018,test,LSTM,479.83238585786773,286.66453563784245,0.03577482011837358,-34.85392786815071
E2019,calibration,ENTSOE,444.42720574982735,343.7519520547945,0.04138929549429647,-224.5960616438356
E2019,calibration,SARIMAX,844.2761739728196,619.0871184861742,0.08025562424341905,144.09116255614276
E2019,calibration,LSTM,465.2115925709146,274.40008497431506,0.03400261553979447,55.01571842893834
E2019,test,ENTSOE,475.2322960896352,372.7549246575342,0.045492886513218096,-207.209198630137
E2019,test,SARIMAX,897.5482358647616,656.8827774498455,0.0878919180852306,237.19603103105615
E2019,test,LSTM,552.3159527610555,337.10997131849314,0.04353671855561732,94.88686654537672
E2020,calibration,ENTSOE,475.2322960896352,372.7549246575342,0.045492886513218096,-207.209198630137
E2020,calibration,SARIMAX,897.5482358647616,656.8827774498455,0.0878919180852306,237.19603103105615
E2020,calibration,LSTM,530.0543518073013,311.09210001070204,0.04072498966146532,101.61325379922945
E2020,test,ENTSOE,388.89286129810927,292.8163592896175,0.03658850160817663,25.335553278688515
E2020,test,SARIMAX,891.0915723274838,673.2041753826727,0.09430563874294788,449.6794296648157
E2020,test,LSTM,626.9656119972823,403.8741272573002,0.05423946729210636,100.52037240116972
E2021,calibration,ENTSOE,388.89286129810927,292.8163592896175,0.03658850160817663,25.335553278688515
E2021,calibration,SARIMAX,631.0953797972597,459.60667811715797,0.06308617561622586,211.55352969554195
E2021,calibration,LSTM,488.1163726110282,314.7465747203723,0.0414042220146708,-82.84858611893786
E2021,test,ENTSOE,511.1457623140316,443.880404109589,0.05576750365261877,404.90645890410957
E2021,test,SARIMAX,604.1373146773607,428.9117303693607,0.05541525836666529,92.09383809285814
E2021,test,LSTM,468.987501642796,320.1640887735445,0.04028045238200713,-105.6141973994007
E2022,calibration,ENTSOE,511.1457623140316,443.880404109589,0.05576750365261877,404.90645890410957
E2022,calibration,SARIMAX,822.8658102138597,689.387727181062,0.08957008921456831,181.04080293982
E2022,calibration,LSTM,381.78815999462387,251.7105043878425,0.03189580943009251,37.51822313784245
E2022,test,ENTSOE,622.802470190889,552.3926232876712,0.0718673554207088,542.0782123287671
E2022,test,SARIMAX,878.8659900615298,746.7690456195679,0.10122372202803731,326.42954388469894
E2022,test,LSTM,409.6309859969455,275.3063583583048,0.03676835355530695,95.45548303724313
E2023,calibration,ENTSOE,622.802470190889,552.3926232876712,0.0718673554207088,542.0782123287671
E2023,calibration,SARIMAX,645.0897747719981,453.4444157011954,0.06186214919736426,161.4241511185896
E2023,calibration,LSTM,419.5043216721108,277.0480929473459,0.03671825244153551,58.82359894049655
E2023,test,ENTSOE,590.7851460979703,508.82053424657533,0.06853296197229727,494.0936301369863
E2023,test,SARIMAX,666.2661508740849,474.4841911250046,0.06821368353962137,233.16144216097229
E2023,test,LSTM,496.6742073308219,328.6638349743151,0.0456973088635721,86.74723405393837
E2024,calibration,ENTSOE,590.7851460979703,508.82053424657533,0.06853296197229727,494.0936301369863
E2024,calibration,SARIMAX,952.7669096891602,814.2144697160326,0.11670821550194384,499.2895262728619
E2024,calibration,LSTM,486.8095257354556,341.96574090325345,0.04757424037934063,85.48585776969179
E2024,test,ENTSOE,560.7859391586142,476.05989754098357,0.06372221187039401,451.3021516393442
E2024,test,SARIMAX,908.063704794585,776.922172187582,0.11008917817979909,422.6403838773236
E2024,test,LSTM,501.918107279602,357.90601429089816,0.04915091520858612,85.35777701289274
E2025,calibration,ENTSOE,560.7859391586142,476.05989754098357,0.06372221187039401,451.3021516393442
E2025,calibration,SARIMAX,909.8126299181741,778.2132908568426,0.11030309408804317,426.98575027022673
E2025,calibration,LSTM,434.5029758828913,296.341781079235,0.04090435439606943,7.026785028176214
E2025,test,ENTSOE,579.0471985987065,494.3383854794521,0.06594185423918307,445.95972794520554
E2025,test,SARIMAX,888.3175942789726,758.899085198986,0.10831476646755529,402.4633145296888
E2025,test,LSTM,426.763636500475,302.11014791523974,0.042665038825223905,22.46577995719181
