C,mean_log_loss,mean_brier,mean_roc_auc,mean_calibration_intercept,mean_calibration_slope,mean_ece
0.03162277660168379,0.41241174950402026,0.12884766019773114,0.8916236342459722,-0.040591271807371154,0.9474098101034821,0.047313320321992834
0.1,0.4129130122571195,0.12849280402949237,0.891796229258634,-0.04952678561086856,0.9099145398829382,0.0466753043631085
0.31622776601683794,0.4147971876213841,0.1286626121827363,0.891103670732112,-0.053353663874232696,0.8897332437652586,0.046010789090476886
0.01,0.4152615628031242,0.13038906823339436,0.8891481335275724,-0.031968753633485655,1.0104541575528403,0.04986433298291037
1.0,0.4165596842558732,0.1289878561668286,0.8904654606095361,-0.054760732066933396,0.8795563861711143,0.046132651833404884
3.1622776601683795,0.41752509402907256,0.12918784129488006,0.8900979051371201,-0.055430864222559904,0.8751182255900621,0.046297731156573624
10.0,0.41791253990122385,0.1292688497594752,0.8899547069773266,-0.05570030577882581,0.8734841206128587,0.04652363201249186
31.622776601683793,0.4180382256134506,0.1292941745975545,0.8899137240736762,-0.055809108893003764,0.872960298614067,0.04648253604738158
100.0,0.41808832416053276,0.1293053472770679,0.8898910306411224,-0.05580470580522112,0.8727957845501055,0.046490384304848
1000.0,0.41810359164491084,0.1293083039907511,0.8898854559184635,-0.055844266250779304,0.8727074575191942,0.04646557962688005
316.22776601683796,0.4181057576735575,0.12930955999722066,0.8898823457721612,-0.05578503399834014,0.8727100022512315,0.046476146525330296
0.0031622776601683794,0.4253730103947702,0.13458808324361907,0.8833009745117069,-0.04325716817982476,1.095768180512867,0.04994976320863148
0.001,0.44681335453481197,0.14281511647345574,0.8730647431070896,-0.08385908414442575,1.184206679175754,0.0506019400496278
0.00031622776601683794,0.47853885153839004,0.1545014604323584,0.8583734264686965,-0.15619351453333769,1.267091087245952,0.06847227829706098
0.0001,0.5133911087273226,0.167502555522525,0.843295102217019,-0.28110280562941037,1.3760271521062755,0.08676219003526071
