position_id,position,model,candidate_id,params_json,folds,mean_RMSE,mean_MAE,mean_R2,mean_correlation
5,atacante,XGB,56,"{""colsample_bytree"": 0.9682726059108973, ""learning_rate"": 0.003788240270303302, ""max_depth"": 8, ""n_estimators"": 800, ""reg_alpha"": 0.00038382998333558036, ""reg_lambda"": 0.0022943142751041196, ""subsample"": 0.9858468258753419}",5,4.179568717606506,2.9872038611586174,0.008825908956583061,0.22439624882464929
5,atacante,XGB,3,"{""colsample_bytree"": 0.568467921577394, ""learning_rate"": 0.017472093072865933, ""max_depth"": 4, ""n_estimators"": 1600, ""reg_alpha"": 0.34571092703989953, ""reg_lambda"": 2.5707189730362927, ""subsample"": 0.771475781686604}",5,4.184925799508994,2.989365922354522,0.00709165469635602,0.22236330302742324
5,atacante,XGB,22,"{""colsample_bytree"": 0.634636556264013, ""learning_rate"": 0.010040733607247688, ""max_depth"": 8, ""n_estimators"": 1300, ""reg_alpha"": 0.0009014128052613807, ""reg_lambda"": 0.23651773248921085, ""subsample"": 0.5995530784130096}",5,4.199959068223699,3.049196841910605,0.00013283362835192492,0.21373703815554598
5,atacante,XGB,24,"{""colsample_bytree"": 0.892569515388459, ""learning_rate"": 0.03348820820102673, ""max_depth"": 5, ""n_estimators"": 750, ""reg_alpha"": 15.937853779380706, ""reg_lambda"": 17.08906170519083, ""subsample"": 0.6339206709526479}",5,4.200356824100713,2.99739395172727,5.690906661874884e-05,0.21166906266244095
5,atacante,XGB,50,"{""colsample_bytree"": 0.528761200606823, ""learning_rate"": 0.014463668457163206, ""max_depth"": 7, ""n_estimators"": 1200, ""reg_alpha"": 12.0126181962634, ""reg_lambda"": 0.005128933757525393, ""subsample"": 0.7087259427644312}",5,4.202714217162341,3.0180291962018004,-0.0010272087722685396,0.20511408696028705
5,atacante,XGB,10,"{""colsample_bytree"": 0.8542246446013451, ""learning_rate"": 0.01885426178034407, ""max_depth"": 5, ""n_estimators"": 1050, ""reg_alpha"": 0.9310894278999958, ""reg_lambda"": 0.00180465362119513, ""subsample"": 0.5080011310055852}",5,4.251251270554382,3.0703670923418414,-0.024449573094075073,0.20479617755591337
5,atacante,XGB,29,"{""colsample_bytree"": 0.6849063602276146, ""learning_rate"": 0.09895231820360668, ""max_depth"": 5, ""n_estimators"": 200, ""reg_alpha"": 8.486350903976925, ""reg_lambda"": 0.03309009814489493, ""subsample"": 0.8954403041861951}",5,4.255563648808645,3.0537427227281,-0.02647195081528566,0.20232038905462552
5,atacante,XGB,15,"{""colsample_bytree"": 0.7939813332632184, ""learning_rate"": 0.04134614638652368, ""max_depth"": 3, ""n_estimators"": 1200, ""reg_alpha"": 1.717391477022521, ""reg_lambda"": 0.9448208774913581, ""subsample"": 0.5712512033060193}",5,4.259560217143218,3.060260866047429,-0.02874704704707496,0.20216215453452638
5,atacante,XGB,8,"{""colsample_bytree"": 0.774960707873106, ""learning_rate"": 0.024452475688516433, ""max_depth"": 7, ""n_estimators"": 850, ""reg_alpha"": 0.0001815894891979192, ""reg_lambda"": 0.12138868227886604, ""subsample"": 0.9315543291158974}",5,4.266152311934891,3.0801043833566397,-0.032079057626333826,0.19908846607881392
5,atacante,XGB,52,"{""colsample_bytree"": 0.7551881056278944, ""learning_rate"": 0.0483232940866918, ""max_depth"": 7, ""n_estimators"": 350, ""reg_alpha"": 0.00046086631260659343, ""reg_lambda"": 0.015891781906402485, ""subsample"": 0.5560912927612662}",5,4.283839352336615,3.1197961139090613,-0.03989810922826429,0.2037699132503707
